#YYYYmmdd HHMMSS.ss;Duration;Magnitude;Longitude;Latitude;Depth;Type;File;Valid;Projection;Operator
20090204 102939.600;2;;;;;Sommital;0;0;WGS84;PHK
20090204 102958.0;3;;;;;Sommital;0;0;WGS84;PHK
20090204 105358.518;35;;;;;Effondrement;0;0;WGS84;PHK
20090204 110944.171;22;;;;;Sommital;0;0;WGS84;PHK
20090204 143638.457;5;;;;;Sommital;0;0;WGS84;PHK
20090204 143727.157;48;;;;;Effondrement;0;0;WGS84;PHK
20090204 154404.114;3;;;;;Sommital;0;0;WGS84;PHK
20090204 155709.594;44;;;;;Effondrement;0;0;WGS84;PHK
20090204 160133.914;3;;;;;Sommital;0;0;WGS84;PHK
20090204 175507.514;5;;;;;Sommital;0;0;WGS84;PHK
20090204 180012.885;3;;;;;Sommital;0;0;WGS84;PHK
20090204 193213.800;3;;;;;Sommital;0;0;WGS84;PHK
20090204 193911.771;14;;;;;Sommital;0;0;WGS84;PHK
20090204 194801.542;11;;;;;Indetermine;0;0;WGS84;PHK
20090204 200452.28;6;;;;;Sommital;0;0;WGS84;PHK
20090204 200545.463;55;;;;;Effondrement;0;0;WGS84;PHK
20090204 201621.594;26;;;;;Effondrement;0;0;WGS84;PHK
20090204 214219.0;31;;;;;Sommital;0;0;WGS84;PHK
20090204 220753.457;51;;;;;Sommital;0;0;WGS84;PHK
20090204 225802.741;57;;;;;Effondrement;0;0;WGS84;PHK
20090204 235840.685;6;;;;;Sommital;0;0;WGS84;PHK
20090205 012151.257;6;;;;;Sommital;0;0;WGS84;PHK
20090205 023743.542;9;;;;;Sommital;0;0;WGS84;PHK
20090205 024253.171;3;;;;;Sommital;0;0;WGS84;PHK
20090205 031655.571;29;;;;;Sommital;0;0;WGS84;PHK
20090205 040459.614;90;;;;;Effondrement;0;0;WGS84;PHK
20090205 043047.257;5;;;;;Sommital;0;0;WGS84;PHK
20090205 110429.657;6;;;;;Sommital;0;0;WGS84;PHK
20090205 133406.342;4;;;;;Sommital;0;0;WGS84;PHK
20090205 134626.162;111;;;;;Effondrement;0;0;WGS84;PHK
