NOM,LATITUDE,LONGITUDE,ELEV,NET,DATEDEB,HDEB,DATEFIN,HFIN
ATE,43.086,-0.7,0.48,OMPT,1979/09/13,22:32:57.0,2009/12/30,23:35:44.0
GRMS,45.205,6.045,0,LDGS,1979/11/22,06:26:55.0,1979/11/22,06:27:00.0
BOF,45.354,7.03,1.8,LDG,1979/11/22,06:27:08.0,1984/05/11,18:09:32.0
IASL,43.121,-0.266,0,LDGS,1980/03/03,15:27:44.0,1980/03/03,20:32:37.0
IPI1,43.224,-0.326,0,LDGS,1980/03/03,20:32:39.0,1980/03/05,04:02:16.0
IZE,43.086,-0.448,0,LDGS,1980/03/03,15:27:43.0,1980/03/05,19:31:16.0
IBRU,43.131,-0.31,0,LDGS,1980/03/03,15:27:44.0,1980/03/06,18:25:00.0
ICAT,43.062,-0.375,0,LDGS,1980/03/03,20:32:36.0,1980/03/06,00:46:16.0
IPEB,43.093,-0.166,0,LDGS,1980/03/03,20:32:38.0,1980/03/06,04:14:47.0
IAAS,42.977,-0.384,0,LDGS,1980/03/03,15:27:44.0,1980/03/07,10:15:09.0
IPED,43.076,-0.315,0,LDGS,1980/03/03,15:27:43.0,1980/03/07,10:15:09.0
IREB,43.161,-0.409,0,LDGS,1980/03/03,15:27:44.0,1980/03/07,10:15:10.0
LYS,43.129,-0.34,0,LDGS,1980/03/03,15:27:43.0,1980/03/07,10:15:09.0
ICAP,43.101,-0.315,0,LDGS,1980/03/03,15:27:43.0,1980/04/09,09:05:08.0
IST1,43.146,-0.156,0,LDGS,1980/03/05,04:02:16.0,1980/03/06,04:14:47.0
IAR1,43.085,-0.227,0,LDGS,1980/03/05,04:02:15.0,1980/03/07,10:15:10.0
LY2,43.137,-0.336,0,LDGS,1980/03/05,04:02:14.0,1980/04/07,08:48:37.0
BIL,43.044,-0.481,0,LDGS,1980/03/05,12:07:22.0,1980/04/09,09:05:08.0
IFLR,43.111,-0.494,0,LDGS,1980/03/05,04:02:15.0,1980/04/09,09:05:08.0
IGAR,43.086,-0.351,0,LDGS,1980/03/05,19:31:15.0,1980/04/09,09:05:08.0
IRBN,43.172,-0.413,0,LDGS,1980/03/05,19:31:17.0,1980/04/09,09:05:09.0
ASSS,43.071,12.661,0,LDGS,1980/03/05,04:02:15.0,1988/12/25,18:28:27.0
ARZ,43.093,-0.453,0,LDGS,1980/03/06,18:25:00.0,1980/04/09,09:05:08.0
AS2,43.023,-0.41,0,LDGS,1980/03/07,10:15:09.0,1980/03/07,10:15:09.0
PYM,45.751,3.008,0.97,CFF,1980/07/12,20:20:20.0,2009/12/25,06:25:13.0
LLSS,46.849,9.009,0,LDGS,1980/07/19,20:28:14.0,1988/12/25,18:28:08.0
GWF,48.977,7.622,0.58,STR,1980/11/28,07:03:17.0,1991/11/20,01:54:59.0
ROG,43.684,5.312,0.31,LDG,1981/01/04,04:09:48.0,1981/07/29,22:59:10.0
CRQS,50.167,-5.173,0,LDGS,1981/02/26,09:52:45.0,1987/08/24,18:59:35.0
CBWS,50.142,-5.114,0,LDGS,1981/06/20,00:35:20.0,1984/03/07,07:48:44.0
CGHS,50.014,-5.165,0,LDGS,1981/06/20,00:35:20.0,1987/01/10,00:51:43.0
VDM,49.074,2.232,0.07,PAR,1982/06/28,09:58:48.0,1982/11/07,02:02:48.0
AUB,43.29,-0.5,0,LDGS,1982/10/24,17:15:09.0,1982/11/11,09:30:23.0
IORY,43,-0.934,0,LDGS,1982/10/24,17:15:09.0,1982/11/29,01:48:22.0
IURD,42.838,-0.556,0,LDGS,1982/10/24,17:15:08.0,1982/12/15,00:46:03.0
ICHA,43.311,-0.868,0,LDGS,1982/10/24,17:15:09.0,1982/12/16,19:34:46.0
LA1,42.979,-0.425,0,LDGS,1982/10/24,17:15:07.0,1982/12/16,19:34:56.0
CAMS,43.409,-0.739,0,LDGS,1982/10/24,17:15:11.0,1982/12/22,22:12:12.0
OSO,42.881,-0.402,0,LDGS,1982/10/30,13:47:41.0,1982/11/11,09:30:17.0
IZ1,43.092,-0.436,0,LDGS,1982/10/30,13:47:39.0,1982/12/31,20:42:23.0
IPAL,43.304,-1.03,0,LDGS,1982/11/11,09:30:22.0,1982/12/16,19:34:50.0
MN1,43.104,-0.81,0,LDGS,1982/11/11,09:30:18.0,1982/12/16,04:07:21.0
JUS,43.174,-1.04,0,LDGS,1982/11/11,09:30:22.0,1982/12/31,20:42:15.0
IRON,42.784,-0.96,0,LDGS,1982/11/29,01:48:18.0,1982/12/07,19:51:10.0
OCH,42.921,-1.015,0,LDGS,1982/11/29,01:48:18.0,1982/12/07,19:51:09.0
IISA,42.87,-0.916,0,LDGS,1982/12/07,19:50:59.0,1982/12/07,19:51:07.0
IOSM,43.392,-0.599,0,LDGS,1982/12/16,04:07:09.0,1982/12/22,05:58:26.0
IR1,43.097,-1.111,0,LDGS,1982/12/22,05:40:57.0,1989/03/13,13:08:54.0
JEA,43.189,-1.224,0,LDGS,1982/12/31,20:42:14.0,1982/12/31,20:42:23.0
BST,48.302,-4.062,0.288,STR,1983/05/08,17:48:40.0,2009/06/29,10:41:55.0
JSO,49.224,-2.2,0,LDGS,1983/05/15,07:03:10.0,1983/08/14,15:41:17.0
JSP,49.215,-2.179,0,LDGS,1983/05/15,07:03:10.0,1983/08/14,15:41:17.0
CKIS,44.425,8.28,0,LDGS,1984/01/05,15:21:10.0,1997/11/17,10:59:59.0
CRES,43.628,11.952,0,LDGS,1984/03/18,14:16:41.0,2009/04/05,20:21:38.0
PLDF,45.97,3.621,0.94,CFF,1984/04/03,05:42:31.0,2009/12/17,23:19:27.0
SMCF,42.528,2.402,1,PAR,1984/04/18,06:18:33.0,1986/06/01,12:03:14.0
FOUF,44.529,6.782,0,CDR,1984/08/01,17:39:41.0,1996/06/29,10:31:36.0
AGO,46.052,3.131,0.523,CFF,1985/01/01,22:43:06.0,2009/12/31,10:50:27.0
ELYF,43.17,-0.992,0.7,OMPT,1985/02/23,20:49:55.0,1999/09/26,05:39:37.0
MAF,46.221,2.566,0.47,LDG,1985/07/23,12:30:49.0,1996/12/29,10:20:36.0
VITF,48.217,5.984,0.46,STR,1985/11/04,06:04:24.0,1994/03/11,18:22:11.0
MOF,47.851,7.133,1.085,STR,1985/11/04,06:04:21.0,2009/12/31,10:50:09.0
VIVS,39.265,-1.12,0,LDGS,1985/11/22,15:24:09.0,1985/11/22,15:24:09.0
GDM,45.204,6.116,1.574,GRN,1986/07/09,22:46:47.0,2009/12/31,10:50:25.0
SURF,44.481,6.813,1.82,GRN,1986/07/09,22:47:11.0,2009/12/31,10:50:36.0
BAIS,41.12,16.867,0,LDGS,1986/10/01,19:55:08.0,1986/10/01,19:55:08.0
LBL,45.233,3.247,0.95,CFF,1987/03/05,23:09:56.0,2009/12/31,10:50:38.0
AUTN,43.995,7.428,2.065,STR,1987/12/03,21:43:40.0,2009/12/31,10:50:51.0
TOUF,44.013,7.248,1.83,STR,1987/12/03,21:43:38.0,2009/12/31,10:50:51.0
LOMF,47.351,6.827,1,STR,1987/12/04,21:54:46.0,2009/12/31,10:50:19.0
GANF,43.998,5.909,0.65,STR,1987/12/11,12:22:15.0,2003/07/27,22:45:11.0
PUYF,43.532,5.7,0.46,STR,1987/12/11,12:22:20.0,2007/11/24,05:26:05.0
PRAF,43.804,5.169,0.7,STR,1987/12/11,12:22:14.0,2009/12/17,11:40:00.0
TREF,43.624,5.384,0.46,STR,1987/12/11,12:22:18.0,2009/12/17,23:19:29.0
VILF,43.852,5.715,0.77,STR,1987/12/11,12:22:15.0,2009/12/17,11:38:18.0
TAVF,43.617,6.058,0.689,STR,1987/12/11,12:22:20.0,2009/12/26,15:19:00.0
GELF,43.384,5.428,0.55,STR,1987/12/12,20:56:00.0,2009/12/18,01:35:37.0
BERF,43.313,5.691,1.03,STR,1988/01/03,10:41:08.0,2009/12/17,23:19:29.0
GA2,43.478,5.451,0,LDGS,1988/02/14,11:28:39.0,1988/02/14,11:28:42.0
GA9,43.442,5.464,0,LDGS,1988/02/14,11:28:40.0,1988/02/14,11:28:44.0
AURF,43.887,7.327,1.04,STR,1988/02/15,04:03:14.0,2004/12/06,23:49:29.0
CALN,43.752,6.889,1.43,STR,1988/02/15,04:03:18.0,2009/12/31,10:50:18.0
MVIF,43.896,7.153,1.48,STR,1988/02/15,04:03:14.0,2009/12/31,10:50:22.0
REVF,43.74,7.367,0.7,STR,1988/02/15,04:03:17.0,2009/12/31,10:51:00.0
SAOF,43.986,7.555,0.6,STR,1988/02/15,04:03:13.0,2009/12/31,10:50:21.0
PTJS,45.909,15.973,0,LDGS,1988/03/04,13:26:19.0,1988/12/25,18:28:49.0
OG22,44.823,6.945,1.81,GRN,1989/01/02,03:38:37.0,2009/12/31,10:50:26.0
LESF,43.031,1.284,0.46,OMPT,1989/01/06,19:33:24.0,1997/01/09,07:03:41.0
SALF,42.76,1.189,0.9,OMPT,1989/01/06,19:33:23.0,2009/12/12,06:41:03.0
GRBF,42.841,1.537,0.875,OMPT,1989/01/06,19:33:27.0,2009/12/30,19:58:28.0
CHAF,47.812,7.54,0.285,STR,1989/10/24,12:04:54.0,1995/11/16,05:57:43.0
OSPF,41.663,9.191,0.965,STR,1989/12/16,05:01:51.0,2009/11/09,13:32:54.0
BTH,43.123,-0.207,0.325,OMPT,1990/01/29,13:59:36.0,1996/01/28,15:37:02.0
DOMF,50.129,3.861,0.145,STR,1990/04/30,23:36:58.0,1999/10/06,16:27:56.0
OG26,44.578,5.302,0.84,GRN,1990/05/29,22:52:21.0,2009/12/17,23:19:26.0
PCHF,45.218,6.03,2.01,GRN,1990/07/31,16:35:25.0,1990/07/31,16:35:41.0
VDCF,42.591,2.366,0.6,OMPT,1990/11/11,15:07:09.0,1999/09/26,05:39:05.0
PERF,42.486,2.874,0.49,OMPT,1990/11/11,15:07:16.0,1999/10/04,18:15:20.0
MTHF,42.939,2.534,0.62,OMPT,1990/11/11,15:07:14.0,2003/03/22,14:48:59.0
COLF,45.518,3.695,0.725,CFF,1990/11/14,02:37:23.0,2009/10/21,16:11:41.0
OG25,44.37,6.073,1.06,GRN,1991/05/05,13:53:19.0,2009/12/31,10:50:18.0
ENSF,42.804,0.336,1.3,OMPT,1991/06/06,08:04:21.0,1998/09/01,00:34:59.0
