#YYYYmmdd HHMMSS.ss;Duration;Magnitude;Longitude;Latitude;Depth;Type;File;Valid;Projection;Operator
20140521 064930.78;5,28;;;;;Effondrement;;0;WGS84;PHK
20140521 052314.11;6,88;;;;;Effondrement;;0;WGS84;PHK
20140521 042907.08;7,2;;;;;Effondrement;;0;WGS84;PHK
20140521 035348.73;3,24;;;;;Effondrement;;0;WGS84;PHK
20140521 030128.38;7,44;;;;;Effondrement;;0;WGS84;PHK
20140521 024339.01;3,8;;;;;Effondrement;;0;WGS84;PHK
20140521 015939.81;2,48;;;;;Effondrement;;0;WGS84;PHK
20140521 014517.71;4,08;;;;;Effondrement;;0;WGS84;PHK
20140521 011316.39;72,35;;;;;Effondrement;;0;WGS84;PHK
20140521 011137.81;80,67;;;;;Effondrement;;0;WGS84;PHK
20140520 235505.44;5,16;;;;;Effondrement;;0;WGS84;PHK
20140520 234954.68;2,92;;;;;Effondrement;;0;WGS84;PHK
20140520 233340.85;2,76;;;;;Effondrement;;0;WGS84;PHK
20140520 233059.32;5,76;;;;;Effondrement;;0;WGS84;PHK
20140520 210703.28;26,98;;;;;Effondrement;;0;WGS84;PHK
20140520 204757.52;1,96;;;;;Effondrement;;0;WGS84;PHK
20140520 202929.42;5,08;;;;;Effondrement;;0;WGS84;PHK
20140520 202327.46;17,07;;;;;Effondrement;;0;WGS84;PHK
20140520 201431.74;2,12;;;;;Sommital;;0;WGS84;PHK
20140520 191924.78;3,68;;;;;Sommital;;0;WGS84;VF
20140520 191902.32;2,56;;;;;Sommital;;0;WGS84;VF
20140520 185059.20;3,92;;;;;Effondrement;;0;WGS84;PHK
20140520 173803.88;4,4;;;;;Effondrement;;0;WGS84;PHK
20140520 163750.49;2,64;;;;;Effondrement;;0;WGS84;PHK
20140520 163649.13;6;;;;;Effondrement;;0;WGS84;PHK
20140520 153107.95;2,48;;;;;Effondrement;;0;WGS84;PHK
20140520 152443.61;6,56;;;;;Effondrement;;0;WGS84;PHK
20140520 150618.03;3,44;;;;;Effondrement;;0;WGS84;PHK
20140520 145452.49;8,63;;;;;Effondrement;;0;WGS84;PHK
20140520 144054.80;4,4;;;;;Effondrement;;0;WGS84;PHK
20140520 141710.27;1,44;;;;;Effondrement;;0;WGS84;PHK
20140520 140821.23;5,6;;;;;Effondrement;;0;WGS84;PHK
20140520 124735.86;3,68;;;;;Effondrement;;0;WGS84;PHK
20140520 110027.22;2,8;;;;;Effondrement;;0;WGS84;PHK
